tag,Area,Roundness,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
S,29216,0.21263751559086064,0.0014494312718711917,9.179369387993505e-08,5.6225901418662566e-11,3.409136386315099e-12,1.3490190915538877e-23,-1.0180388616915068e-15,-4.523030691591005e-23
A,17048,0.16600709047807602,0.0016952346922444851,2.430566110163547e-07,3.488598475612579e-09,1.0884125761343076e-10,5.91489272543855e-20,-4.425055221104749e-14,-3.161535466828422e-20
F,25797,0.23681398402996826,0.0014256499184796298,2.002652564646284e-07,9.013866370804837e-10,1.3201208647311192e-10,2.3743947351400398e-20,-1.076595173032177e-14,-3.8858138388218336e-20
F,29146,0.6274832068852835,0.0013272073594227988,1.9083270047691184e-07,6.157463594951446e-10,1.3941250637171212e-10,3.3950784502614014e-20,-1.0830452117246702e-15,-2.271058453848315e-20
A,25189,0.25010118273982673,0.0012736205589384594,1.6157126173229862e-08,1.3262640026744207e-09,4.429804862812735e-11,-1.0715218335044323e-20,5.5935630686147125e-15,6.870274790173422e-22
F,25282,0.26019367488153694,0.00139029286202553,4.0281975406432285e-07,5.281131782266454e-10,8.667448368057666e-11,8.11666637679794e-21,-3.2757068622431425e-14,-1.6673178408356786e-20
G,24670,0.16985108108983107,0.0018825977493177662,3.89295179751163e-08,3.299977756308942e-10,1.1507517371571702e-10,-1.421239056640888e-20,-2.0824333911755816e-14,-1.7345840681410907e-20
G,21315,0.120486923168821,0.0019577613277805732,3.888310678148569e-08,1.0442805571479457e-10,8.397588084144465e-11,-4.693794093820786e-21,-8.443988651134937e-15,-6.3095104761487754e-21
G,28801,0.25008415513181476,0.0016163129952358238,5.076469865403308e-08,2.9216846287071026e-10,7.670111597216112e-11,-4.258246744652807e-21,-1.5047358275603904e-14,-1.0663238726863258e-20
G,20602,0.13077690408604134,0.002288047343562584,3.482702697593726e-08,1.5562257381472646e-10,2.2531062243702376e-11,1.3294935825961414e-21,1.0759482758670841e-15,1.1152107647348647e-22
G,23598,0.14481241402568354,0.0019807271516513302,9.118427137506374e-08,2.204706036447408e-10,1.005968765377066e-10,-1.3319103014182127e-20,2.2539694019106763e-15,6.858827954126796e-21
F,25621,0.12043991115992718,0.0012190546813122638,2.539317797104438e-07,1.0222767304217029e-10,2.6559551321642728e-11,5.404739659996155e-22,-5.940359245091714e-15,-1.2740333014518332e-21
F,29530,0.3284027475461949,0.0013841323934534028,2.890254704094267e-07,8.918636874438166e-10,2.8790423015288737e-11,-3.0654537266022818e-21,-7.716811107829682e-15,3.447676387777973e-21
A,23383,0.22689533643301737,0.0013442055078543617,1.6468363014871406e-08,1.7028355964595066e-09,5.776541743611936e-11,-1.8097558910402144e-20,7.204585767963554e-15,-8.408316191677038e-22
A,54268,1.2253947784071682,0.0007165821307417541,1.309733597231108e-09,1.0993406157153523e-11,8.020352813080332e-13,-2.357444301364039e-24,-2.882394184845933e-17,-3.378595541473226e-25
F,27455,0.16592078405571659,0.0013843918695773641,2.5675184697093676e-07,9.029783009551686e-10,2.5392646534789755e-11,-2.8519636428705434e-21,-7.373107418220617e-15,2.5788793464205222e-21
S,29216,0.21263751559086064,0.0014494312718711917,9.179369387993505e-08,5.6225901418662566e-11,3.409136386315099e-12,1.3490190915538877e-23,-1.0180388616915068e-15,-4.523030691591005e-23
D,31182,0.41559983973644304,0.0016357643432134631,3.914585079416804e-09,2.1597922386513767e-10,1.0702691220809212e-12,1.0061862454553329e-23,5.565259660430028e-17,-1.2788371736846581e-23
D,31920,0.4343361439646145,0.0016148271946142393,6.0949775640429845e-09,1.7078298481177305e-10,5.909015751271207e-14,1.8764970616643673e-25,-1.9927090907058304e-18,4.885383668802557e-27
S,31641,0.18859354846783888,0.0014054848548346462,4.7839072822363654e-08,3.7604020352636917e-11,8.561063547074128e-14,1.3916626792839942e-25,4.2493455153064695e-18,-6.502008807848194e-26
